,X,mobility_action,REGION,MAIN_FIELD,INTERNATIONAL_COAUTHOR,GENDER,GDP_PC_ORIGIN,age,PPY,COPP,CPP,mobile
495400,497538,0,East Asia & Pacific,Health Sciences,0,1,32168.1393709524,15,0.4,4.83333333333333,30.3333333333333,0
400547,402372,0,South Asia,Physical Sciences,1,1,3406.45477885714,15,2.93333333333333,1.31818181818182,22.2045454545455,0
298975,300420,0,Europe & Central Asia,Physical Sciences,1,1,31992.4621838095,19,2.94736842105263,0.75,8.28571428571429,0
22654,22704,0,East Asia & Pacific,Health Sciences,0,1,34734.2837052381,17,0.411764705882353,1.71428571428571,2.85714285714286,0
726728,735507,0,North America,Health Sciences,1,1,44202.2401857143,21,1.47619047619048,7.45161290322581,27.0967741935484,0
586784,589358,0,Europe & Central Asia,Life Sciences,1,1,39541.877177619,21,2.80952380952381,3.89830508474576,20.6440677966102,0
753595,762470,0,North America,Physical Sciences,1,0,44202.2401857143,20,0.8,1.3125,16.9375,0
385451,387201,0,South Asia,Health Sciences,1,1,3406.45477885714,19,0.894736842105263,3,5.82352941176471,0
175736,176873,0,Europe & Central Asia,Health Sciences,1,1,35149.2922257143,19,2.47368421052632,1.21276595744681,50.6808510638298,0
398133,399948,0,South Asia,Physical Sciences,1,1,3406.45477885714,21,1.9047619047619,0.625,6.825,0
737333,746157,0,North America,Health Sciences,1,1,44202.2401857143,21,3.19047619047619,5.05970149253731,19.4328358208955,0
233737,235019,0,Europe & Central Asia,Health Sciences,1,1,27787.0150390476,15,2,2.93333333333333,16.3666666666667,0
634062,636798,0,Europe & Central Asia,Physical Sciences,1,0,14994.1721550952,20,0.55,1,1.18181818181818,0
501628,503796,0,East Asia & Pacific,Physical Sciences,1,1,32168.1393709524,21,5.19047619047619,1.6605504587156,13.1834862385321,0
169772,170898,0,Europe & Central Asia,Physical Sciences,1,1,35149.2922257143,21,3.61904761904762,1.19736842105263,7.56578947368421,0
518223,520462,0,East Asia & Pacific,Health Sciences,0,1,32168.1393709524,18,0.666666666666667,5.75,7.08333333333333,0
402280,404111,0,Europe & Central Asia,Physical Sciences,1,1,40938.370842381,16,2.125,0.794117647058823,16.7647058823529,0
522379,524638,0,East Asia & Pacific,Physical Sciences,1,1,32168.1393709524,14,0.428571428571429,2,3.33333333333333,0
128069,128357,0,East Asia & Pacific,Life Sciences,0,0,6801.14156919048,16,1.3125,3.0952380952381,6.57142857142857,0
541645,543989,0,East Asia & Pacific,Physical Sciences,1,1,32168.1393709524,18,2.27777777777778,3.24390243902439,18.3658536585366,0
890614,899939,0,North America,Physical Sciences,0,1,44202.2401857143,21,0.476190476190476,1.1,0.5,0
451508,453492,0,Europe & Central Asia,Health Sciences,1,0,31642.1296719048,15,1.53333333333333,1.39130434782609,4.82608695652174,0
263,274,0,Middle East & North Africa,Health Sciences,0,1,84147.1252014286,13,1,1.69230769230769,8.23076923076923,0
333980,335506,0,Europe & Central Asia,Health Sciences,1,0,32993.7535514286,11,0.909090909090909,5.5,11.8,0
884851,894162,0,North America,Life Sciences,1,0,44202.2401857143,21,1.42857142857143,1.9,29.0666666666667,0
326444,327949,0,Europe & Central Asia,Health Sciences,0,1,32993.7535514286,19,1.31578947368421,14.8,6.56,0
936109,945568,0,North America,Social Sciences,1,0,44202.2401857143,18,1.05555555555556,1.36842105263158,14.1578947368421,0
497624,499772,0,East Asia & Pacific,Life Sciences,1,1,32168.1393709524,20,2.2,1.90909090909091,13.9090909090909,0
736210,745032,0,North America,Life Sciences,1,1,44202.2401857143,16,0.8125,5,32.7692307692308,0
463409,465431,0,Europe & Central Asia,Health Sciences,1,1,31642.1296719048,15,2.53333333333333,3.44736842105263,32.4210526315789,0
553269,555653,0,East Asia & Pacific,Health Sciences,1,0,26350.2981452381,19,1.78947368421053,33.8823529411765,18.1764705882353,0
134415,134722,0,East Asia & Pacific,Physical Sciences,1,1,6801.14156919048,13,0.769230769230769,1.4,9.2,0
46349,46446,0,Europe & Central Asia,Life Sciences,0,1,11690.1032189524,17,0.352941176470588,1.16666666666667,2.16666666666667,0
500004,502160,0,East Asia & Pacific,Physical Sciences,1,1,32168.1393709524,21,1.95238095238095,2.29268292682927,20.0487804878049,0
736143,744964,0,North America,Physical Sciences,1,1,44202.2401857143,18,3,1.59259259259259,4.66666666666667,0
678769,681749,0,Europe & Central Asia,Physical Sciences,1,1,15111.2546948571,21,0.904761904761905,0.894736842105263,6.68421052631579,0
403390,405223,0,Europe & Central Asia,Life Sciences,1,1,40938.370842381,17,1.76470588235294,6.26666666666667,30.1666666666667,0
367202,368809,0,Europe & Central Asia,Social Sciences,0,1,32993.7535514286,17,1.11764705882353,0.263157894736842,2.84210526315789,0
876343,885621,0,North America,Social Sciences,0,1,44202.2401857143,17,0.470588235294118,0.5,4.375,0
940540,950342,0,Sub-Saharan Africa,Social Sciences,1,1,10053.8425135238,19,1,4.68421052631579,5.78947368421053,0
489215,491336,0,East Asia & Pacific,Physical Sciences,1,1,32168.1393709524,16,0.9375,1.86666666666667,16.7333333333333,0
256034,257383,0,Europe & Central Asia,Health Sciences,1,0,31992.4621838095,14,1.21428571428571,8.41176470588235,9.52941176470588,0
113346,113570,0,East Asia & Pacific,Physical Sciences,0,0,6801.14156919048,16,1.0625,1.64705882352941,2,0
813173,822250,0,North America,Health Sciences,1,0,44202.2401857143,21,4.38095238095238,4.80434782608696,21.5978260869565,0
471039,473080,0,East Asia & Pacific,Physical Sciences,1,1,32168.1393709524,21,2.04761904761905,0.790697674418605,4.72093023255814,0
879687,888978,0,North America,Physical Sciences,1,1,44202.2401857143,16,1.375,1.31818181818182,15.9090909090909,0
687653,696256,0,Europe & Central Asia,Health Sciences,1,1,7151.90889333333,20,1.5,2.4,3.66666666666667,0
643697,646478,0,Europe & Central Asia,Physical Sciences,1,1,14994.1721550952,19,1.21052631578947,6.52173913043478,21.5652173913043,0
7923,7950,0,East Asia & Pacific,Physical Sciences,1,0,34734.2837052381,21,4.28571428571429,0.577777777777778,9.53333333333333,0
820412,829507,0,North America,Physical Sciences,1,0,44202.2401857143,21,2.47619047619048,3.28846153846154,3.44230769230769,0
923952,933375,0,North America,Life Sciences,1,1,44202.2401857143,21,1.66666666666667,3.51428571428571,24.2571428571429,0
859876,869096,0,North America,Life Sciences,1,0,44202.2401857143,17,1.23529411764706,4.14285714285714,46.7619047619048,0
46909,47009,0,Europe & Central Asia,Physical Sciences,1,1,11690.1032189524,19,1.10526315789474,3.38095238095238,14.5238095238095,0
817191,826277,0,North America,Social Sciences,0,1,44202.2401857143,15,0.8,1.33333333333333,7.33333333333333,0
759138,768040,0,North America,Social Sciences,0,0,44202.2401857143,20,1,0.65,5.8,0
60922,61067,0,Latin America & Caribbean,Health Sciences,1,1,11837.3063025714,13,0.692307692307692,6.22222222222222,11.2222222222222,0
517439,519673,0,East Asia & Pacific,Physical Sciences,1,1,32168.1393709524,17,2.52941176470588,0.813953488372093,14,0
14404,14442,0,East Asia & Pacific,Physical Sciences,1,1,34734.2837052381,11,1,0.909090909090909,3.90909090909091,0
575550,578102,0,Europe & Central Asia,Social Sciences,1,1,39541.877177619,15,2.73333333333333,0.463414634146341,10.8536585365854,0
523877,526142,0,East Asia & Pacific,Life Sciences,1,1,32168.1393709524,16,1,6.25,18.125,0
564695,567127,0,Europe & Central Asia,Physical Sciences,0,1,16840.4035431905,16,0.3125,0.8,0.8,0
140225,140561,0,East Asia & Pacific,Physical Sciences,0,1,6801.14156919048,15,1.6,1.5,2.125,0
659803,662641,0,Europe & Central Asia,Health Sciences,1,1,37083.4250842857,21,4.23809523809524,1.35955056179775,18.4943820224719,0
765617,774536,0,North America,Physical Sciences,1,1,44202.2401857143,21,6.47619047619048,1.05147058823529,14.9264705882353,0
188492,189664,0,Europe & Central Asia,Physical Sciences,1,1,35149.2922257143,19,1.57894736842105,2.23333333333333,5.03333333333333,0
719448,728197,0,North America,Health Sciences,1,1,44202.2401857143,21,6.66666666666667,2.33571428571429,11.2214285714286,0
791342,800343,0,North America,Social Sciences,0,1,44202.2401857143,15,1.2,0.277777777777778,9.77777777777778,0
137907,138234,0,East Asia & Pacific,Health Sciences,1,1,6801.14156919048,18,1.72222222222222,2.67741935483871,6.25806451612903,0
179269,180417,0,Europe & Central Asia,Physical Sciences,1,0,35149.2922257143,20,0.4,1.25,38.375,0
899918,909265,0,North America,Life Sciences,1,0,44202.2401857143,21,6.28571428571429,1.75,22.6212121212121,0
494344,496477,0,East Asia & Pacific,Physical Sciences,1,1,32168.1393709524,14,1,5,4.07142857142857,0
18423,18467,0,East Asia & Pacific,Physical Sciences,1,1,34734.2837052381,17,0.470588235294118,1.25,2.625,0
499912,502068,0,East Asia & Pacific,Physical Sciences,0,1,32168.1393709524,18,0.388888888888889,3,0.714285714285714,0
27054,27112,0,East Asia & Pacific,Physical Sciences,1,1,34734.2837052381,17,3.52941176470588,6.86666666666667,34.7833333333333,0
232611,233891,0,Europe & Central Asia,Physical Sciences,1,1,27787.0150390476,19,1.47368421052632,1.17857142857143,8.17857142857143,0
836040,845185,0,North America,Health Sciences,1,0,44202.2401857143,21,2.23809523809524,5.68085106382979,54.8085106382979,0
867407,876644,0,North America,Health Sciences,1,0,44202.2401857143,20,0.65,1,4.15384615384615,0
61885,62032,0,Latin America & Caribbean,Life Sciences,1,0,11837.3063025714,16,1.125,1.77777777777778,10.9444444444444,0
928822,938257,0,North America,Health Sciences,1,0,44202.2401857143,16,2.5,3.5,27.825,0
370014,371674,0,Europe & Central Asia,Health Sciences,1,0,24479.2539804762,21,1.28571428571429,3.66666666666667,30.5925925925926,0
333069,334592,0,Europe & Central Asia,Life Sciences,1,0,32993.7535514286,21,1,139.428571428571,19.3809523809524,0
111464,111685,0,Latin America & Caribbean,Health Sciences,0,0,15041.6601047143,11,0.363636363636364,3.5,6.5,0
20422,20470,0,East Asia & Pacific,Health Sciences,1,1,34734.2837052381,19,1.21052631578947,12.7826086956522,15,0
12896,12931,0,East Asia & Pacific,Health Sciences,1,0,34734.2837052381,21,1.57142857142857,3.15151515151515,21.030303030303,0
111936,112159,0,East Asia & Pacific,Physical Sciences,0,1,6801.14156919048,16,1.4375,1.65217391304348,2.82608695652174,0
127625,127910,0,East Asia & Pacific,Physical Sciences,1,1,6801.14156919048,21,5.38095238095238,1.98230088495575,13.7256637168142,0
695106,703751,0,North America,Health Sciences,1,1,44202.2401857143,21,0.666666666666667,8.42857142857143,19.1428571428571,0
485673,487773,0,East Asia & Pacific,Physical Sciences,1,1,32168.1393709524,18,0.777777777777778,7.35714285714286,13.7142857142857,0
450855,452835,0,Europe & Central Asia,Physical Sciences,1,1,31642.1296719048,18,6.38888888888889,7.06086956521739,6.66086956521739,0
682337,685332,0,Europe & Central Asia,Health Sciences,0,1,15111.2546948571,16,0.4375,2.42857142857143,7.28571428571429,0
677296,680269,0,Europe & Central Asia,Health Sciences,1,1,15111.2546948571,19,3.26315789473684,3.74193548387097,14.6935483870968,0
